index,s,value_lower,value_upper
273,273/32,98604175713859724083428857/16000000000000000000000000000000,197208351427719448166857819/32000000000000000000000000000000
274,137/16,191140885617732371351557111/32000000000000000000000000000000,5973152675554136604736163/1000000000000000000000000000000
275,275/32,46315024086868037296703713/8000000000000000000000000000000,185260096347472149186814963/32000000000000000000000000000000
276,69/8,89780120080985560550270031/16000000000000000000000000000000,179560240161971121100540173/32000000000000000000000000000000
277,277/32,43508937578932641997192653/8000000000000000000000000000000,174035750315730567988770723/32000000000000000000000000000000
278,139/16,84340615667884302426170793/16000000000000000000000000000000,168681231335768604852341697/32000000000000000000000000000000
279,279/32,2043643171899512669884299/400000000000000000000000000000,163491453751961013590744031/32000000000000000000000000000000
280,35/4,31692269797905313069866963/6400000000000000000000000000000,79230674494763282674667463/16000000000000000000000000000000
281,281/32,153586004418666907194889371/32000000000000000000000000000000,76793002209333453597444741/16000000000000000000000000000000
282,141/16,74430329278262362422486153/16000000000000000000000000000000,148860658556524724844972417/32000000000000000000000000000000
283,283/32,36070174104193198273645427/8000000000000000000000000000000,144280696416772793094581819/32000000000000000000000000000000
284,71/8,69920822501145417558910699/16000000000000000000000000000000,139841645002290835117821509/32000000000000000000000000000000
285,285/32,67769584468263486514440971/16000000000000000000000000000000,135539168936526973028882047/32000000000000000000000000000000
286,143/16,65684533114638051288422613/16000000000000000000000000000000,131369066229276102576845331/32000000000000000000000000000000
287,287/32,6366363208636944896660633/1600000000000000000000000000000,25465452834547779586642553/6400000000000000000000000000000
288,9,123409815363852477357322209/32000000000000000000000000000000,61704907681926238678661157/16000000000000000000000000000000
289,289/32,11961289384900716221153233/3200000000000000000000000000000,23922578769801432442306487/6400000000000000000000000000000
290,145/16,57966395693691680781782967/16000000000000000000000000000000,115932791387383361563566039/32000000000000000000000000000000
291,291/32,28091478457314632475100717/8000000000000000000000000000000,112365913829258529900402973/32000000000000000000000000000000
292,73/8,108908777605746490073884011/32000000000000000000000000000000,27227194401436622518471029/8000000000000000000000000000000
293,293/32,105558006326540297750890743/32000000000000000000000000000000,3298687697704384304715339/1000000000000000000000000000000
294,147/16,51155163741167677085949963/16000000000000000000000000000000,102310327482335354171900031/32000000000000000000000000000000
295,295/32,49581284624355877216955309/16000000000000000000000000000000,99162569248711754433910723/32000000000000000000000000000000
296,37/4,96111657388353989096866397/32000000000000000000000000000000,48055828694176994548433251/16000000000000000000000000000000
297,297/32,46577306124291097422263437/16000000000000000000000000000000,93154612248582194844526979/32000000000000000000000000000000
298,149/16,1410758528925972958988133/500000000000000000000000000000,90288545851262269375240617/32000000000000000000000000000000
299,299/32,43755329536126208950135091/16000000000000000000000000000000,87510659072252417900270287/32000000000000000000000000000000
300,75/8,84818238907631172005078589/32000000000000000000000000000000,42409119453815586002539347/16000000000000000000000000000000
301,301/32,513804098900229386635831/200000000000000000000000000000,16441731164807340372346613/6400000000000000000000000000000
302,151/16,79679361190529412895231023/32000000000000000000000000000000,9959920148816176611903891/4000000000000000000000000000000
303,303/32,77227884789469458460517079/32000000000000000000000000000000,1206685699835460288445581/500000000000000000000000000000
304,19/2,74851832403977988848614259/32000000000000000000000000000000,18712958100994497212153591/8000000000000000000000000000000
305,305/32,36274441739812884783375483/16000000000000000000000000000000,72548883479625769566751071/32000000000000000000000000000000
306,153/16,70316788858065311549744239/32000000000000000000000000000000,8789598607258163943718043/4000000000000000000000000000000
307,307/32,34076684290196466858138883/16000000000000000000000000000000,68153368580392933716277871/32000000000000000000000000000000
308,77/8,66056509758095292849602237/32000000000000000000000000000000,33028254879047646424801171/16000000000000000000000000000000
309,309/32,64024164509500933798880627/32000000000000000000000000000000,16006041127375233449720183/8000000000000000000000000000000
310,155/16,62054347959721399048075223/32000000000000000000000000000000,969599186870646860126177/500000000000000000000000000000
311,311/32,60145136302128453373004769/32000000000000000000000000000000,30072568151064226686502437/16000000000000000000000000000000
312,39/4,58294664919474087260954059/32000000000000000000000000000000,14573666229868521815238541/8000000000000000000000000000000
313,313/32,28250563281409110392935599/16000000000000000000000000000000,56501126562818220785871303/32000000000000000000000000000000
314,157/16,27381384793242747343324409/16000000000000000000000000000000,54762769586485494686648923/32000000000000000000000000000000
315,315/32,13269474059331815674871701/8000000000000000000000000000000,53077896237327262699486909/32000000000000000000000000000000
316,79/8,3215303812288621391121429/2000000000000000000000000000000,51444860996617942257942969/32000000000000000000000000000000
317,317/32,12465517243241572838923437/8000000000000000000000000000000,12465517243241572838923463/8000000000000000000000000000000
318,159/16,6040996793084000990965751/4000000000000000000000000000000,1510249198271000247741441/1000000000000000000000000000000
319,319/32,2927567428125396453526479/2000000000000000000000000000000,5855134856250792907052971/4000000000000000000000000000000
320,10,1815997212957689194355077/1280000000000000000000000000000,45399930323942229858877029/32000000000000000000000000000000
321,321/32,44003121279904792814511901/32000000000000000000000000000000,8800624255980958562902401/6400000000000000000000000000000
322,161/16,21324643767578542945713269/16000000000000000000000000000000,42649287535157085891426643/32000000000000000000000000000000
323,323/32,41337106878478513102593811/32000000000000000000000000000000,10334276719619628275648479/8000000000000000000000000000000
324,81/8,10016324444708676030496391/8000000000000000000000000000000,40065297778834704121985669/32000000000000000000000000000000
325,325/32,19416309066888824342440967/16000000000000000000000000000000,38832618133777648684882039/32000000000000000000000000000000
326,163/16,1505514562254147992463983/1280000000000000000000000000000,117618325176105311911249/100000000000000000000000000000
327,327/32,18239934349667333174845693/16000000000000000000000000000000,36479868699334666349691491/32000000000000000000000000000000
328,41/4,35357501115623668678317571/32000000000000000000000000000000,8839375278905917169579419/8000000000000000000000000000000
329,329/32,8567416288430690769972573/8000000000000000000000000000000,34269665153722763079890397/32000000000000000000000000000000
330,165/16,33215298387183584781076031/32000000000000000000000000000000,4151912298397948097634517/4000000000000000000000000000000
331,331/32,32193371076995450457384463/32000000000000000000000000000000,4024171384624431307173071/4000000000000000000000000000000
332,83/8,15601442582948765256015141/16000000000000000000000000000000,31202885165897530512030387/32000000000000000000000000000000
333,333/32,6048574660726576222207241/6400000000000000000000000000000,3024287330363288111103631/3200000000000000000000000000000
334,167/16,7328099475548086561331507/8000000000000000000000000000000,29312397902192346245326133/32000000000000000000000000000000
335,335/32,28410550220125630521527627/32000000000000000000000000000000,7102637555031407630381933/8000000000000000000000000000000
336,21/2,13768224737512616285999599/16000000000000000000000000000000,27536449475025232571999303/32000000000000000000000000000000
337,337/32,13344620991658222327905243/16000000000000000000000000000000,26689241983316444655810591/32000000000000000000000000000000
338,169/16,12934050163256646538395049/16000000000000000000000000000000,25868100326513293076790203/32000000000000000000000000000000
339,339/32,25072222543126142525478943/32000000000000000000000000000000,3134027817890767815684881/4000000000000000000000000000000
340,85/8,24300831345431740610058233/32000000000000000000000000000000,12150415672715870305029169/16000000000000000000000000000000
