case,degree,t,energy,integrated_work,work_defect,norm_defect
short,5,0.095,2.3027847723949137,2.3027847724175166,-2.2602808513738637e-11,9.892087149410145e-13
short,5,0.1,2.4986043792304518,2.498604379237223,-6.771028182583905e-12,-3.26405569239796e-14
short,5,0.105,2.694354799421675,2.694354799425929,-4.25393054115375e-12,-5.806466418789569e-14
short,5,0.11,2.8888198167271937,2.888819816719052,8.141487484181198e-12,9.836575998178887e-13
short,5,0.115,3.080791578066104,3.0807915780561235,9.980460902170307e-12,1.084909939663703e-12
short,5,0.12,3.269078389965546,3.269078389997607,-3.206102050512527e-11,9.947598300641403e-13
short,5,0.125,3.4525124460422187,3.4525124460531296,-1.0910827796806188e-11,-1.7208456881689926e-13
short,5,0.13,3.6299574316337697,3.629957431640999,-7.229328247149169e-12,-1.509903313490213e-13
short,5,0.135,3.800315950925627,3.8003159509090016,1.6625367749156794e-11,2.7111646261346323e-13
short,5,0.14,3.962536722730128,3.9625367227208312,9.29656351900121e-12,-8.115730310009894e-14
short,5,0.145,4.115621491316061,4.115621491370421,-5.4360071999326465e-11,-1.099120794378905e-13
short,5,0.15,4.258631600075663,4.258631600088411,-1.2748024857955897e-11,-2.1216362000586741e-13
short,5,0.155,4.390694177704639,4.390694177714027,-9.388045896230324e-12,-1.8685053504441385e-13
short,5,0.16,4.511007888557485,4.511007888537476,2.000888343900442e-11,-3.879119248040297e-13
short,5,0.165,4.6188482019867605,4.618848202003109,-1.6348700171420205e-11,-1.2374545832471995e-12
short,5,0.17,4.7135721386159535,4.713572138703346,-8.739231560639382e-11,-2.835731649497575e-12
short,5,0.17500000000000002,4.794622455360747,4.794622455374354,-1.3606893389805919e-11,-2.5224267119483557e-13
short,5,0.18,4.861531235112341,4.861531235124134,-1.1792344878358563e-11,-2.370326157574709e-13
short,5,0.185,4.91392285233067,4.913922852325664,5.006661751849606e-12,-5.039302308773586e-13
short,5,0.19,4.951516289794413,4.951516289845969,-5.155609272833317e-11,-2.05613304160579e-12
short,5,0.195,4.974126788248212,4.974126788308519,-6.03073146976385e-11,-3.045230734244342e-12
short,5,0.2,4.981666815399425,4.981666815414911,-1.5486278925891384e-11,-2.468025783741723e-13
short,6,0.0,0.0,0.0,0.0,0.0
short,6,0.005,0.007706665635005912,0.007706665635011274,-5.362030264244311e-15,-9.992007221626409e-16
short,6,0.01,0.03077914645875433,0.030779146458746708,7.62237495344209e-15,-7.771561172376096e-16
short,6,0.015,0.06907517572504544,0.0690751757251833,-1.3786194408282881e-13,-1.2878587085651816e-14
