steps,t,energy,integrated_work,norm_defect,work_defect
160,1.4875,0.4177122811815727,0.41771251569727447,8.659739592076221e-15,-2.3451570174692904e-07
160,1.5,0.4210746468704194,0.421074877762458,9.103828801926284e-15,-2.3089203859960605e-07
160,1.5125,0.4243691854204249,0.4243694125297774,9.103828801926284e-15,-2.2710935249081743e-07
160,1.5250000000000001,0.42759474528681485,0.4275949684650124,8.881784197001252e-15,-2.2317819753370216e-07
160,1.5375,0.4307502040195135,0.43075042312908646,9.103828801926284e-15,-2.1910957292980981e-07
160,1.55,0.4338344684480583,0.4338346833629552,8.881784197001252e-15,-2.149148969343706e-07
160,1.5625,0.4368464748473232,0.4368466854532967,9.325873406851315e-15,-2.106059734940935e-07
160,1.575,0.4397851890845872,0.4397853952795533,9.103828801926284e-15,-2.0619496610141397e-07
160,1.5875000000000001,0.44264960674854587,0.44264980844290785,7.993605777301127e-15,-2.016943619898015e-07
160,1.6,0.4454387532608658,0.44543895037780684,8.215650382226158e-15,-1.9711694104751487e-07
160,1.6125,0.4481516839709305,0.4481518764466717,7.993605777301127e-15,-1.9247574117864374e-07
160,1.625,0.4507874842344444,0.4507876720184665,7.771561172376096e-15,-1.8778402205432698e-07
160,1.6375,0.45334526947658105,0.4533454525318123,7.549516567451064e-15,-1.8305523125095036e-07
160,1.6500000000000001,0.4558241852403971,0.45582436354336264,8.215650382226158e-15,-1.7830296555887415e-07
160,1.6625,0.4582234072212349,0.4582235807621713,7.771561172376096e-15,-1.7354093639898593e-07
160,1.675,0.4605421412878741,0.4605423100708021,7.993605777301127e-15,-1.687829280228037e-07
160,1.6875,0.46277962349118273,0.4627797875339445,7.327471962526033e-15,-1.6404276176329446e-07
160,1.7,0.4649351200610527,0.4649352793953095,7.993605777301127e-15,-1.5933425678849034e-07
160,1.7125000000000001,0.4670079273923982,0.46700808206359107,8.659739592076221e-15,-1.5467119285350606e-07
160,1.725,0.4689973720210125,0.46899752208828416,8.215650382226158e-15,-1.5006727166477773e-07
160,1.7375,0.47090281059008027,0.4709029561261539,8.43769498715119e-15,-1.4553607363687604e-07
160,1.75,0.4727236298081283,0.47272377089915335,8.43769498715119e-15,-1.4109102502990467e-07
160,1.7625,0.4744592463992266,0.47445938314458447,8.215650382226158e-15,-1.3674535787044917e-07
160,1.7750000000000001,0.47610910704622467,0.4761092395582941,8.43769498715119e-15,-1.3251206942843652e-07
160,1.7875,0.4776726883278004,0.4776728167316901,8.43769498715119e-15,-1.2840388968760053e-07
160,1.8,0.4791494966501106,0.47914962108335307,8.215650382226158e-15,-1.2443324248767595e-07
160,1.8125,0.48053906817380065,0.48053918878600876,7.993605777301127e-15,-1.206122081098826e-07
160,1.825,0.4818409687371211,0.481841085689611,8.659739592076221e-15,-1.1695248985921225e-07
160,1.8375000000000001,0.483054793775887,0.48305490724126915,8.881784197001252e-15,-1.1346538214551671e-07
