mask,face_count,odd_edge_count,moment_exact
1084,5,12,0
1085,6,12,0
1086,6,12,0
1087,7,12,0
1088,2,6,0
1089,3,10,0
1090,3,6,0
1091,4,10,0
1092,3,6,0
1093,4,10,0
1094,4,6,0
1095,5,10,0
1096,3,10,0
1097,4,12,0
1098,4,8,0
1099,5,10,0
1100,4,10,0
1101,5,12,0
1102,5,8,0
1103,6,10,0
1104,3,8,0
1105,4,10,0
1106,4,10,0
1107,5,12,0
1108,4,8,0
1109,5,10,0
1110,5,10,0
1111,6,12,0
1112,4,12,0
1113,5,12,0
1114,5,12,0
1115,6,12,0
1116,5,12,0
1117,6,12,0
1118,6,12,0
1119,7,12,0
1120,3,8,0
1121,4,12,0
1122,4,6,0
1123,5,10,0
1124,4,6,0
1125,5,10,0
1126,5,4,0
1127,6,8,0
1128,4,10,0
1129,5,12,0
1130,5,10,0
1131,6,12,0
1132,5,8,0
1133,6,10,0
1134,6,8,0
1135,7,10,0
1136,4,10,0
1137,5,12,0
1138,5,10,0
1139,6,12,0
1140,5,8,0
1141,6,10,0
1142,6,8,0
1143,7,10,0
1144,5,12,0
1145,6,12,0
1146,6,14,0
1147,7,14,0
1148,6,10,0
1149,7,10,0
1150,7,12,0
1151,8,12,0
1152,2,8,0
1153,3,10,0
1154,3,8,0
1155,4,10,0
1156,3,10,0
1157,4,12,0
1158,4,10,0
1159,5,12,0
1160,3,10,0
1161,4,10,0
1162,4,8,0
1163,5,8,0
1164,4,12,0
1165,5,12,0
1166,5,10,0
1167,6,10,0
1168,3,10,0
1169,4,10,0
1170,4,8,0
1171,5,8,0
1172,4,12,0
1173,5,12,0
1174,5,10,0
1175,6,10,0
1176,4,12,0
1177,5,10,0
1178,5,8,0
1179,6,6,0
1180,5,14,0
1181,6,12,0
1182,6,10,0
1183,7,8,0
1184,3,10,0
1185,4,12,0
1186,4,8,0
1187,5,10,0
1188,4,10,0
1189,5,12,0
1190,5,8,0
1191,6,10,0
1192,4,10,0
1193,5,10,0
1194,5,10,0
1195,6,10,0
1196,5,10,0
1197,6,10,0
1198,6,10,0
1199,7,10,0
1200,4,12,0
1201,5,12,0
1202,5,8,0
1203,6,8,0
1204,5,12,0
1205,6,12,0
1206,6,8,0
1207,7,8,0
1208,5,12,0
1209,6,10,0
1210,6,10,0
1211,7,8,0
1212,6,12,0
1213,7,10,0
1214,7,10,0
1215,8,8,0
1216,3,10,0
1217,4,12,0
1218,4,8,0
1219,5,10,0
1220,4,10,0
1221,5,12,0
1222,5,8,0
1223,6,10,0
1224,4,12,0
1225,5,12,0
1226,5,8,0
1227,6,8,0
1228,5,12,0
1229,6,12,0
1230,6,8,0
1231,7,8,0
1232,4,10,0
1233,5,10,0
1234,5,10,0
1235,6,10,0
1236,5,10,0
1237,6,10,0
1238,6,10,0
1239,7,10,0
1240,5,12,0
1241,6,10,0
1242,6,10,0
1243,7,8,0
1244,6,12,0
1245,7,10,0
1246,7,10,0
1247,8,8,0
1248,4,12,0
1249,5,14,0
1250,5,8,0
1251,6,10,0
1252,5,10,0
1253,6,12,0
1254,6,6,0
1255,7,8,0
1256,5,12,0
1257,6,12,0
1258,6,10,0
1259,7,10,0
1260,6,10,0
1261,7,10,0
1262,7,8,0
1263,8,8,0
1264,5,12,0
1265,6,12,0
1266,6,10,0
1267,7,10,0
1268,6,10,0
1269,7,10,0
1270,7,8,0
1271,8,8,0
1272,6,12,0
1273,7,10,0
1274,7,12,0
1275,8,10,0
1276,7,10,0
1277,8,8,0
1278,8,10,0
1279,9,8,0
1280,2,6,0
1281,3,8,0
1282,3,10,0
1283,4,12,0
1284,3,8,0
1285,4,10,0
1286,4,12,0
1287,5,14,0
1288,3,8,0
1289,4,8,0
1290,4,10,0
1291,5,10,0
1292,4,10,0
1293,5,10,0
1294,5,12,0
1295,6,12,0
1296,3,8,0
1297,4,8,0
1298,4,10,0
1299,5,10,0
1300,4,10,0
1301,5,10,0
1302,5,12,0
1303,6,12,0
1304,4,10,0
1305,5,8,0
1306,5,10,0
1307,6,8,0
1308,5,12,0
1309,6,10,0
1310,6,12,0
1311,7,10,0
1312,3,8,0
1313,4,10,0
1314,4,10,0
1315,5,12,0
1316,4,8,0
1317,5,10,0
1318,5,10,0
1319,6,12,0
1320,4,8,0
1321,5,8,0
1322,5,12,0
1323,6,12,0
1324,5,8,0
1325,6,8,0
1326,6,12,0
1327,7,12,0
1328,4,10,0
1329,5,10,0
1330,5,10,0
1331,6,10,0
1332,5,10,0
1333,6,10,0
1334,6,10,0
1335,7,10,0
1336,5,10,0
1337,6,8,0
1338,6,12,0
1339,7,10,0
1340,6,10,0
1341,7,8,0
1342,7,12,0
1343,8,10,0
1344,3,8,0
1345,4,10,0
1346,4,10,0
