kappa,mean_bessel,mean_quad,mean_ode_reflected,susceptibility_quad,mean_zero_variance_root,mean_wrong_coefficient_reflected,ode_bessel_difference
-1.5499999999999998,-0.3537317916378435,-0.3537317916378435,-0.3537317916378388,0.19023164222111288,-0.4238486845240639,-0.44918744996114957,4.718447854656915e-15
-1.5249999999999997,-0.3489569328040175,-0.3489569328040176,-0.34895693280401663,0.19175640435158445,-0.41906299020539195,-0.44368887998094825,8.881784197001252e-16
-1.4999999999999998,-0.3441440070687609,-0.3441440070687609,-0.34414400706876835,0.19327688826113476,-0.41421356237309503,-0.43812472631585014,7.438494264988549e-15
-1.4749999999999999,-0.33929312939290734,-0.3392931293929074,-0.33929312939290374,0.19479245154763408,-0.4092996261973848,-0.43249480138810825,3.608224830031759e-15
-1.4499999999999997,-0.33440443094411854,-0.33440443094411837,-0.3344044309441181,0.19630244012883305,-0.40432041689828035,-0.4267989484159084,4.440892098500626e-16
-1.4249999999999998,-0.329478059384123,-0.32947805938412317,-0.3294780593841212,0.19780618862842353,-0.39927518148776014,-0.4210370425780914,1.7763568394002505e-15
-1.3999999999999997,-0.32451417914593217,-0.3245141791459323,-0.32451417914593156,0.19930302079195822,-0.39416318062022787,-0.4152089921741767,6.106226635438361e-16
-1.3749999999999998,-0.31951297170028076,-0.31951297170028076,-0.31951297170028864,0.20079224993282457,-0.3889836905545187,-0.4093147397768051,7.882583474838611e-15
-1.3499999999999999,-0.31447463581054264,-0.3144746358105425,-0.3144746358105387,0.20227317940839856,-0.38373600523041224,-0.4033542633734968,3.941291737419306e-15
-1.3249999999999997,-0.3093993877753637,-0.30939938777536363,-0.3093993877753633,0.2037451031264256,-0.37841943846229686,-0.3973275774950213,3.885780586188048e-16
-1.2999999999999998,-0.30428746165825904,-0.3042874616582591,-0.30428746165825676,0.205207306081591,-0.3730333262522467,-0.39123473432710615,2.275957200481571e-15
-1.275,-0.29913910950341877,-0.29913910950341865,-0.2991391095034181,0.20665906492216368,-0.3675770292243161,-0.38507582480212155,6.661338147750939e-16
-1.2499999999999998,-0.2939546015369729,-0.2939546015369729,-0.2939546015369791,0.2080996485465041,-0.36204993518133083,-0.3788509796677008,6.217248937900877e-15
-1.2249999999999999,-0.28873422635297646,-0.28873422635297646,-0.28873422635297463,0.20952831872914018,-0.3564514617848418,-0.3725603705287021,1.8318679906315083e-15
-1.1999999999999997,-0.283478291083373,-0.28347829108337286,-0.28347829108337674,0.21094433077601826,-0.35078105935821213,-0.36620421085901306,3.7192471324942744e-15
-1.1749999999999998,-0.2781871215512195,-0.2781871215512194,-0.2781871215512155,0.21234693420844425,-0.3450382138120193,-0.3597827569798485,3.9968028886505635e-15
-1.15,-0.27286106240646063,-0.27286106240646074,-0.27286106240646035,0.21373537347512883,-0.3392224496900695,-0.3532963090006716,2.7755575615628914e-16
-1.1249999999999998,-0.2675004772435559,-0.2675004772435559,-0.2675004772435534,0.21510888869165387,-0.33333333333333326,-0.3467452117192636,2.4980018054066022e-15
-1.0999999999999999,-0.2621057487002862,-0.26210574870028636,-0.2621057487002858,0.2164667164065723,-0.32737047615802495,-0.34012985547740193,3.885780586188048e-16
-1.0749999999999997,-0.25667727853708433,-0.25667727853708444,-0.25667727853708533,0.21780809039325794,-0.32133353804284426,-0.3334506769679581,9.992007221626409e-16
-1.0499999999999998,-0.2512154876962572,-0.2512154876962573,-0.25121548769625685,0.2191322424665107,-0.31522223081910034,-0.3267081599902821,3.3306690738754696e-16
-1.025,-0.24572081634049495,-0.24572081634049503,-0.24572081634049814,0.2204384033228289,-0.30903632185601587,-0.3199028361500214,3.191891195797325e-15
