z,single_deficit,sum_real_deficit,sum_imaginary
3.6874999999999996e-07,0.00000000000000001927105477607709307724756385108017762913317497215393508283459463665217,0.00000000000000003854210955215418615449512770216035525826634994430787016566918927330435,0.000000004389880952380951791965056370183693266399243044092801988938628374084011
3.75e-07,0.00000000000000001992984693877550993928243331771484279759203622730610528450773526419127,0.00000000000000003985969387755101987856486663542968559518407245461221056901547052838254,0.000000004464285714285714167084244412050535681653374097908107400162909826616942
3.8125e-07,0.00000000000000002059971123866213123637564100639160947211424151189802072268551111307081,0.00000000000000004119942247732426247275128201278321894422848302379604144537102222614162,0.000000004538690476190476065815239527937499034412716626465485420816655444694215
3.875e-07,0.00000000000000002128064767573696114933652186698052765996342067577097559611557215717924,0.00000000000000004256129535147392229867304373396105531992684135154195119223114431435849,0.000000004613095238095237964345222629395675006103240816048442015886078819355587
3.9375e-07,0.00000000000000002197265624999999967813491821289062735741026699542998231606816261773932,0.00000000000000004394531249999999935626983642578125471482053399085996463213632523547864,0.000000004687499999999999862670898437500001508742570877075186472211498767137559
4e-07,0.00000000000000002267573696145124682274018198864328051191941188785046270673347349085306,0.00000000000000004535147392290249364548036397728656102383882377570092541346694698170611,0.000000004761904761904761760788971673325416454359641611866755095979605270400911
4.0625e-07,0.0000000000000000233898898100907025831211747698722010221511216078523039977060214389037,0.00000000000000004677977962018140516624234953974440204430224321570460799541204287780739,0.000000004836309523809523658696147057946857754994880843548669713020651619917776
4.1249999999999997e-07,0.00000000000000002411511479591836345159320653883388915389106322783967170451770596145109,0.00000000000000004823022959183672690318641307766777830778212645567934340903541192290217,0.000000004910714285714285199246272169582154915721528871188465449976668742420228
4.1874999999999996e-07,0.00000000000000002485141191893423520335091550300091825147369005869074739845071572362472,0.00000000000000004970282383786847040670183100600183650294738011738149479690143144724943,0.000000004985119047619046977674146967401427929372362308922715754079043649184155
4.2499999999999995e-07,0.00000000000000002559878117913831553535715698395186648903414860362115349221193381676105,0.0000000000000000511975623582766310707143139679037329780682972072423069844238676335221,0.000000005059523809523808755881238077241541761831016780475813754877134878728546
