case,method,kind,tau,lA,lC,phi,v,hp,hl,E,B,I_wrong
coupled_mixed,DOP853,full,1.8250000000000002,0.13779095820000645,0.12384297028442373,0.15365760968466116,-0.014011837101984517,0.07479689589859323,0.06179790087498514,0.06053083287759136,0.04554781465981359,
coupled_mixed,DOP853,full,1.85,0.13966054482175067,0.12538638839889177,0.1533026257889873,-0.014386395575804806,0.07476998347536243,0.06167577433512074,0.06032418985934225,0.04537782150492847,
coupled_mixed,DOP853,full,1.875,0.1415294548590503,0.12692677022780888,0.15293831390411364,-0.014758074269430816,0.07474276928712933,0.06155499499895904,0.06011883834596825,0.04520852397173374,
coupled_mixed,DOP853,full,1.9000000000000001,0.14339768077878104,0.12846414922491886,0.1525647461711384,-0.015126861497544964,0.07471525422185363,0.061435544800312936,0.05991476695673584,0.045039919686234664,
coupled_mixed,DOP853,full,1.925,0.14526521507061516,0.12999855839542745,0.152181995020125,-0.015492745828131944,0.07468743921526415,0.06131740592198386,0.059711964399098906,0.044872006276464156,
coupled_mixed,DOP853,full,1.9500000000000002,0.14713205024821552,0.13153003030219962,0.15179013316377357,-0.015855716082239353,0.07465932525088444,0.0612005607935348,0.059510419468026134,0.04470478137244836,
coupled_mixed,DOP853,full,1.975,0.14899817885042882,0.13305859707190174,0.15138923359110024,-0.01621576133370555,0.07463091336003515,0.061084992089075224,0.05931012104533308,0.0445382426061739,
coupled_mixed,DOP853,full,2.0,0.15086359344247915,0.13458429040108857,0.15097936956112276,-0.01657287090885572,0.07460220462181333,0.06097068272505761,0.059111058099018836,0.04437238761155645,
coupled_mixed,DOP853,full,2.025,0.15272828661716922,0.13610714156223014,0.1505606145965414,-0.01692703438617079,0.07457320016304779,0.06085761585808653,0.058913219682606814,0.04420721402440968,
coupled_mixed,DOP853,full,2.0500000000000003,0.15459225099606796,0.13762718140969094,0.15013304247744713,-0.017278241595919536,0.07454390115823414,0.06074577488273699,0.058716594934490975,0.04404271948241732,
