time,coupling,energy,integrated_work,work_defect,norm,last_character_probability
1.165,6.281446865664984,4.703824623929064,4.703824623928984,7.993605777301127e-14,1.0000000000000075,1.9880368748979583e-24
1.17,6.319365249826863,4.71633287545448,4.716332875454491,-1.0658141036401503e-14,0.9999999999999993,2.777475613322398e-23
1.175,6.357202249325371,4.72865684026985,4.7286568402697835,6.661338147750939e-14,1.0000000000000062,1.756372898663994e-25
1.18,6.394955530196146,4.740801189794886,4.740801189794833,5.3290705182007514e-14,1.0000000000000049,7.487529144894201e-25
1.185,6.432622763638992,4.752770712917476,4.752770712917401,7.549516567451064e-14,1.0000000000000067,3.193845784843824e-25
1.19,6.470201626161519,4.764570310654412,4.764570310654346,6.661338147750939e-14,1.0000000000000058,3.7222888164964397e-26
1.195,6.507689799722478,4.776204990577703,4.776204990577623,7.993605777301127e-14,1.0000000000000073,6.425688051397373e-25
1.2,6.545084971874737,4.787679861009149,4.787679861009083,6.572520305780927e-14,1.0000000000000058,2.388794955066345e-26
1.205,6.582384835907931,4.79900012498906,4.799000124988988,7.194245199571014e-14,1.0000000000000067,6.037913162042846e-26
1.21,6.619587090990747,4.810171074023656,4.810171074023589,6.750155989720952e-14,1.0000000000000062,3.0856932732891156e-26
1.215,6.656689442312855,4.821198081617965,4.821198081617864,1.0036416142611415e-13,1.000000000000009,2.438864915299549e-24
1.22,6.693689601226457,4.832086596600089,4.832086596600021,6.750155989720952e-14,1.000000000000006,9.961222226137166e-26
1.225,6.730585285387466,4.8428421362452125,4.842842136245085,1.2789769243681803e-13,1.0000000000000115,1.9249982025695117e-23
1.23,6.767374218896284,4.853470279205416,4.853470279205353,6.306066779870889e-14,1.000000000000006,7.474615949718921e-26
1.235,6.804054132438209,4.863976658256452,4.8639766582563775,7.460698725481052e-14,1.0000000000000069,4.583768209895853e-25
1.24,6.84062276342339,4.874366952867449,4.874366952867385,6.394884621840902e-14,1.000000000000006,6.853346256448689e-26
1.245,6.877077856126417,4.884646881606099,4.884646881606041,5.861977570020827e-14,1.0000000000000056,1.2439015419597837e-25
1.25,6.913417161825448,4.8948221943878165,4.894822194387752,6.483702463810914e-14,1.000000000000006,4.8195132465058924e-26
1.2550000000000001,6.949638438940942,4.904898664580509,4.9048986645804815,2.7533531010703882e-14,1.0000000000000027,2.026008080796769e-24
1.26,6.9857394531739025,4.914882080976637,4.914882080976571,6.661338147750939e-14,1.000000000000006,4.0762162976897707e-26
1.2650000000000001,7.021717977643725,4.924778239643605,4.9247782396435875,1.7763568394002505e-14,1.000000000000002,1.5608262155376202e-24
1.27,7.057571793025543,4.934592935666982,4.934592935666914,6.838973831690964e-14,1.000000000000006,1.2721049117671552e-25
1.2750000000000001,7.093298687687142,4.944331954797104,4.944331954797105,-1.7763568394002505e-15,1.0000000000000002,3.1211849714883715e-24
