beta,j,n,multiplicity_full,multiplicity_class,ratio,dimensionless_energy,log10_beta
5.51653866759558,1.5,4,16,1,0.24220166889503053,1.4179845573211107,0.7416666666666667
5.51653866759558,2.0,5,25,1,0.1096617222016371,2.2103549042085535,0.7416666666666667
6.30957344480193,0.5,2,4,1,0.7736335824813857,0.2566569251319769,0.7999999999999998
6.30957344480193,1.0,3,9,1,0.5095493606663791,0.674228550410647,0.7999999999999998
6.30957344480193,1.5,4,16,1,0.2890847947155513,1.2410352265849682,0.7999999999999998
6.30957344480193,2.0,5,25,1,0.14301454211542242,1.9448089607777819,0.7999999999999998
7.216611620833883,0.5,2,4,1,0.8005928297482198,0.22240278856142193,0.8583333333333334
7.216611620833883,1.0,3,9,1,0.5562500121597449,0.5865374236414718,0.8583333333333334
7.216611620833883,1.5,4,16,1,0.33811816042788034,1.084359857525704,0.8583333333333334
7.216611620833883,2.0,5,25,1,0.1814279453030441,1.7068966996763522,0.8583333333333334
8.254041852680182,0.5,2,4,1,0.8245794811550851,0.1928817424107786,0.9166666666666665
8.254041852680182,1.0,3,9,1,0.6003996607372013,0.5101597442842801,0.9166666666666665
8.254041852680182,1.5,4,16,1,0.3881390040264807,0.946391745717658,0.9166666666666665
8.254041852680182,2.0,5,25,1,0.22420674972069365,1.4951866629957598,0.9166666666666665
9.440608762859236,0.5,2,4,1,0.8458422786677084,0.1674223685913485,0.9750000000000001
9.440608762859236,1.0,3,9,1,0.6416153661635134,0.4437662729605236,0.9750000000000001
9.440608762859236,1.5,4,16,1,0.4380621986238935,0.8253943726969627,0.9750000000000001
9.440608762859236,2.0,5,25,1,0.2704001535621434,1.3078523669061541,0.9750000000000001
10.797751623277094,0.5,2,4,1,0.8646399928302486,0.14544205194253876,1.0333333333333332
10.797751623277094,1.0,3,9,1,0.6796962838203042,0.38610922202671194,1.0333333333333332
10.797751623277094,1.5,4,16,1,0.4869523180989319,0.7195890701407686,1.0333333333333332
10.797751623277094,2.0,5,25,1,0.31891575462258376,1.1428283031679638,1.0333333333333332
12.349991726875851,0.5,2,4,1,0.8812249458971829,0.12644235544739793,1.0916666666666668
12.349991726875851,1.0,3,9,1,0.7145828222768844,0.3360563719172888,1.0916666666666668
12.349991726875851,1.5,4,16,1,0.5340589697183548,0.6272490159347213,1.0916666666666668
12.349991726875851,2.0,5,25,1,0.3686334603474222,0.9979524610149936,1.0916666666666668
14.12537544622754,0.5,2,4,1,0.8958347963670654,0.10999926206172861,1.15
