scenario,t,a,x,F,phi,y,f,f_phi,S,C,D,Z,Wtilde,Wpump,Wdefect,energy_mismatch,defect_residual,max_r2_error
correct,1.8,-0.021051778018768164,0.05562550511211625,0.09383384456972814,-0.09011808420661103,-0.44704413300338275,1.0000812126910108,-0.001802361684132221,0.007285010016261244,0.09245360742503282,-2.5334379156444656e-05,0.9974117870203253,0.10655122405498425,0.0015512240549839537,0.0,-4.182851981449076e-16,-4.182851981449076e-16,1.5543122344752192e-15
correct,1.85,-0.023950475307266062,0.060335785826109364,0.09551682110532124,-0.11231788205679213,-0.4407165318978791,1.0001261530662973,-0.0022463576411358432,0.007941846989555926,0.09245376412753813,-2.871900799808425e-05,0.9974567130257982,0.10682580474693634,0.001825804746935805,0.0,-1.8019440106709084e-16,-1.8019440106709084e-16,1.3322676295501878e-15
correct,1.9000000000000001,-0.027086499543796598,0.0651146262810672,0.09672816145053063,-0.13416678820236125,-0.4330121226264005,1.0001800072705653,-0.0026833357640472255,0.008597719161583119,0.0924539556227429,-3.2335787338114276e-05,0.9975105496697191,0.10712739597214001,0.0021273959721391246,0.0,1.6523241108679088e-16,1.6523241108679088e-16,1.3322676295501878e-15
correct,1.9500000000000002,-0.030462681484368117,0.06993806928422662,0.09745864012608714,-0.15559654659355965,-0.4239549907610272,1.0002421028531183,-0.0031119309318711937,0.009245486691559324,0.09245418694952327,-3.617075051424802e-05,0.9975726240393202,0.10745535189696163,0.0024553518969608317,0.0,8.500145032286355e-17,8.500145032286355e-17,1.3322676295501878e-15
correct,2.0,-0.034080645427743285,0.074781845539838,0.097702744294501,-0.1765402114810189,-0.41357344904708965,1.0003116644626977,-0.0035308042296203785,0.009877910836922582,0.09245446332283887,-4.0204689696594124e-05,0.9976421603051248,0.10780854736999229,0.0028085473699919028,0.0,-3.2916377956659915e-16,-3.2916377956659915e-16,1.1102230246251565e-15
correct,2.0500000000000003,-0.037940798358153505,0.07962156315271973,0.09745864012608714,-0.19693235660975827,-0.4018999486273403,1.0003878235307988,-0.003938647132195166,0.01048766366646622,0.09245479002603647,-4.441275615982237e-05,0.9977182894141385,0.10818537580999583,0.003185375809995189,0.0,-7.19910242530375e-17,-7.19910242530375e-17,1.3322676295501878e-15
correct,2.1,-0.04204232851041349,0.08443289519711102,0.09672816145053063,-0.21670927964849013,-0.38897097728123986,1.0004696291188577,-0.004334185592969803,0.011067318986930894,0.0924551722822792,-4.876414026202032e-05,0.9978000599488271,0.10858375820430158,0.003583758204301441,0.0,-5.806986835832362e-16,-5.806986835832362e-16,1.3322676295501878e-15
correct,2.15,-0.046383213286776616,0.08919176638467487,0.09551682110532124,-0.23580920121301294,-0.37482694500728686,1.0005560597937673,-0.00471618402426026,0.011609347217507256,0.09245561510646125,-5.3221861686445414e-05,0.9978864500162115,0.10900116336746483,0.004001163367464357,0.0,-2.402592014227878e-16,-2.402592014227878e-16,1.3322676295501878e-15
correct,2.2,-0.05096023650487902,0.09387453979267114,0.09383384456972806,-0.25417245785991605,-0.35951205731830077,1.0006460363833456,-0.0050834491571983215,0.012106136030720324,0.09245612314013907,-5.7742701502207015e-05,0.9979763800184732,0.1094346394012011,0.004434639401200961,0.0,-5.785302792382652e-16,-5.785302792382652e-16,1.5543122344752192e-15
correct,2.25,-0.055769015001838326,0.09845820451765107,0.09169222461822048,-0.2717416884463391,-0.34307417665997686,1.0007384354523967,-0.005434833768926783,0.012550052972221023,0.09245670047328845,-6.227730672523173e-05,0.9980687261453605,0.10988085608537035,0.004880856085369985,0.0,-3.5388358909926865e-16,-3.5388358909926865e-16,1.3322676295501878e-15
