time_s,numerical_x_m,analytic_x_m,absolute_error_m
12.46,0.09216971217210636,0.0921697123000597,1.2795334236592737e-10
12.48,0.0957528965488451,0.09575289667982045,1.3097535556116924e-10
12.5,0.09870008256854886,0.09870008270145043,1.3290157863110608e-10
12.52,0.10099704874499738,0.10099704887894989,1.3395251574621625e-10
12.540000000000001,0.10263381986993618,0.10263382000413507,1.3419888811316838e-10
12.56,0.10360470012790075,0.10360470026137218,1.3347142835407055e-10
12.58,0.1039082786977688,0.10390827882954334,1.3177454960544566e-10
12.6,0.10354740800368886,0.10354740813291652,1.2922765635359212e-10
12.620000000000001,0.10252915494953589,0.10252915507576404,1.2622815293017453e-10
12.64,0.1008647256434297,0.10086472576535849,1.21928786511738e-10
12.66,0.09856936427627686,0.0985693643933297,1.170528396432502e-10
12.68,0.09566222699358401,0.09566222710526859,1.1168457825228018e-10
12.700000000000001,0.09216623173635129,0.09216623184191795,1.0556666651950763e-10
12.72,0.08810788518265741,0.08810788528139464,9.873722672804064e-11
12.74,0.08351708805802878,0.08351708814971796,9.168918402302495e-11
12.76,0.07842692021042456,0.07842692029571754,8.52929810113423e-11
12.780000000000001,0.0728734069662545,0.072873407045338,7.90835036346138e-11
12.8,0.06689526838870317,0.06689526845881731,7.011413671875744e-11
12.82,0.060533653153502225,0.06053365321152601,5.802378716390777e-11
12.84,0.053831858857383466,0.05383185890493082,4.7547354942167885e-11
12.86,0.046835040649472755,0.04683504068765721,3.818445559744532e-11
12.88,0.03958991009898261,0.03958991012765568,2.8673063923179143e-11
12.9,0.03214442630619975,0.0321444263246877,1.8487947284206996e-11
12.92,0.024547481279843075,0.024547481287521083,7.678007535316667e-12
12.94,0.016848581625610384,0.01684858162227819,3.3321956305343292e-12
12.96,0.009097528600742135,0.009097528587183157,1.3558978592675963e-11
12.98,0.0013440985875776714,0.0013440985646537649,2.2923906479663247e-11
13.0,-0.006362273981930655,-0.00636227401573305,3.380239491090897e-11
13.02,-0.013972809257995645,-0.013972809300033938,4.203829298554673e-11
13.040000000000001,-0.02143968816608629,-0.021439688217923383,5.183709364531275e-11
13.06,-0.028716350308966517,-0.028716350370229585,6.126306753562183e-11
13.08,-0.03575778168724638,-0.03575778175710434,6.985795969471909e-11
13.1,-0.04252079050824346,-0.04252079058582984,7.758638176369459e-11
13.120000000000001,-0.04896426940163253,-0.04896426948589837,8.426583736342863e-11
13.14,-0.055049442467419024,-0.055049442557616186,9.01971622391251e-11
13.16,-0.060740095691941366,-0.060740095788454095,9.651272836475044e-11
13.18,-0.06600278938419087,-0.06600278948787056,1.036796898334913e-10
13.200000000000001,-0.0708070514054457,-0.0708070515156405,1.101947977311113e-10
13.22,-0.07512555009521109,-0.07512555020991298,1.147018868774552e-10
13.24,-0.07893424594029606,-0.07893424605845899,1.1816292388999727e-10
13.26,-0.08221252117797291,-0.08221252129891443,1.2094152068709008e-10
13.280000000000001,-0.08494328665730955,-0.08494328678033694,1.23027393827968e-10
13.3,-0.08711306544383285,-0.08711306556811135,1.242785041544181e-10
13.32,-0.08871205280160903,-0.08871205292618875,1.2457972153878671e-10
13.34,-0.0897341523397164,-0.08973415246382226,1.2410585059630108e-10
13.36,-0.09017698826461731,-0.09017698838741776,1.2280045036394682e-10
13.38,-0.09004189383014605,-0.0900418939508347,1.206886535154439e-10
13.4,-0.08933387623069584,-0.08933387634850581,1.1780997011268113e-10
13.42,-0.08806155832957374,-0.08806155844413686,1.1456312287716486e-10
13.44,-0.08623709776184212,-0.08623709787256915,1.107270386491166e-10
13.46,-0.08387608408678623,-0.08387608419274697,1.0596074018209833e-10
13.48,-0.08099741480401002,-0.08099741490476306,1.0075304479606473e-10
13.5,-0.07762315117746944,-0.0776231512728296,9.536015033173584e-11
13.52,-0.07377835492842652,-0.07377835501798537,8.955884645001078e-11
13.540000000000001,-0.06949090697658085,-0.06949090705863378,8.205293389185186e-11
13.56,-0.0647913095106395,-0.06479130958298635,7.234685073242986e-11
13.58,-0.05971247277014152,-0.05971247283449838,6.435686011885267e-11
13.6,-0.05428948802129232,-0.05428948807892395,5.763162863603455e-11
13.620000000000001,-0.04855938824876175,-0.04855938829913834,5.03765917869714e-11
13.64,-0.04256089818999619,-0.04256089823101596,4.101977091330866e-11
13.66,-0.03633417537952657,-0.036334175409999434,3.047286034618679e-11
13.68,-0.029920543923202238,-0.02992054394332948,2.012724362177032e-11
13.700000000000001,-0.02336222274655106,-0.023362222756948443,1.0397384342386573e-11
13.72,-0.016702050087613083,-0.016702050088772843,1.1597597882051502e-12
13.74,-0.009983206019490818,-0.009983206011228945,8.261873823967036e-12
13.76,-0.0032489347845260316,-0.0032489347657325444,1.8793487165796874e-11
13.780000000000001,0.003457731291737298,0.0034577313198053804,2.8068082580379183e-11
13.8,0.010094244545435704,0.010094244582165282,3.672957771261309e-11
13.82,0.016618809682048746,0.016618809728186777,4.613803089581481e-11
13.84,0.022990644769604954,0.02299064482425774,5.465278576921584e-11
13.86,0.029170233892031897,0.02917023395466718,6.263528237737681e-11
13.88,0.0351195699279283,0.03511956999824061,7.031231152865303e-11
13.9,0.04080238596941159,0.04080238604678357,7.737198381985166e-11
13.92,0.046184373988464984,0.04618437407185413,8.338914281313947e-11
13.94,0.05123338944927369,0.0512333895376387,8.836500975384354e-11
13.96,0.055919640663275705,0.055919640756640264,9.336455913944164e-11
13.98,0.06021586179174696,0.060215861890750344,9.900338188151281e-11
14.0,0.06409746850802765,0.06409746861239982,1.0437216368952562e-10
14.02,0.06754269544959768,0.06754269555805457,1.084568962417265e-10
14.040000000000001,0.07053271471728434,0.07053271482861304,1.1132869626173658e-10
14.06,0.07305173480400087,0.07305173491739336,1.1339248984221229e-10
14.08,0.07508707946094434,0.07508707957560719,1.1466284866035181e-10
14.1,0.07662924614143402,0.07662924625658281,1.1514879327823024e-10
14.120000000000001,0.07767194379777785,0.0776719439127483,1.1497044982711202e-10
14.14,0.07821210993858484,0.07821211005259447,1.140096350660258e-10
14.16,0.07824990698543088,0.07824990709769675,1.1226586327239829e-10
14.18,0.07778869810165938,0.0777886982115176,1.0985821974340837e-10
14.200000000000001,0.076835002794387,0.07683500290132085,1.0693385066318228e-10
14.22,0.07539843271774076,0.07539843282128464,1.0354388180200402e-10
14.24,0.07349160822879565,0.07349160832801795,9.922229704528718e-11
14.26,0.07113005636398594,0.07113005645840983,9.442389925506944e-11
14.280000000000001,0.0683320910239246,0.06833209111333888,8.941428153441677e-11
14.3,0.0651186762542753,0.06511867633856469,8.42893949082324e-11
14.32,0.06151327361711114,0.06151327369545822,7.834707882459213e-11
14.34,0.05754167473840072,0.057541674808514125,7.011340813489753e-11
14.36,0.053231820201691024,0.053231820263265874,6.157484938595914e-11
14.38,0.04861360605201129,0.04861360610680262,5.47913311943482e-11
14.4,0.04371867922461617,0.043718679273122014,4.85058451737963e-11
14.42,0.03858022327598007,0.03858022331664794,4.066787184786591e-11
14.44,0.03323273585793504,0.033232735889103415,3.116837343775103e-11
14.46,0.027711799415845638,0.027711799437243737,2.1398098570823976e-11
14.48,0.02205384661943622,0.02205384663157368,1.2137461175010245e-11
14.5,0.01629592205549964,0.01629592205890874,3.409099391671333e-12
14.52,0.01047544172948835,0.010475441724473948,5.0144020879994144e-12
14.540000000000001,0.004629951926111828,0.004629951912088357,1.4023470752688727e-11
14.56,-0.0012031110323796317,-0.0012031110560242273,2.3644595613034336e-11
14.58,-0.006986658603926469,-0.006986658635054385,3.112791534948256e-11
14.6,-0.012684183911453812,-0.012684183950702475,3.924866334714672e-11
14.620000000000001,-0.018259990259429416,-0.018259990306948394,4.751897833554786e-11
14.64,-0.023679412835553616,-0.023679412890707387,5.515377043963099e-11
14.66,-0.028909032247050517,-0.02890903230912567,6.207515404477171e-11
14.68,-0.03391687858893333,-0.03391687865709526,6.816192749115046e-11
14.700000000000001,-0.038672624808689944,-0.03867262488228588,7.359593490186e-11
14.72,-0.043147768212768625,-0.04314776829203502,7.926639206123909e-11
14.74,-0.047315799044597665,-0.04731579913032028,8.572261650519053e-11
14.76,-0.0511523551515208,-0.05115235524312165,9.160085190362821e-11
14.780000000000001,-0.05463536185058756,-0.054635361946206995,9.561943598024314e-11
14.8,-0.057745156211229005,-0.05774515631003234,9.880333357026316e-11
14.82,-0.06046459507990495,-0.06046459518141406,1.0150911361472836e-10
14.84,-0.0627791462664144,-0.06277914637014759,1.0373318870549042e-10
14.86,-0.06467696243483914,-0.06467696254017305,1.0533390826239497e-10
14.88,-0.06614893735221282,-0.06614893745840698,1.0619416457302577e-10
14.9,-0.06718874426307228,-0.06718874436930174,1.0622945578742105e-10
14.92,-0.06779285627323046,-0.0677928563787829,1.0555244178700462e-10
14.94,-0.06796054874254667,-0.06796054884670898,1.0416230378229585e-10
14.96,-0.0676938837995753,-0.0676938839016807,1.0210539358457282e-10
14.98,-0.06699767720562147,-0.06699767730515288,9.953141089091844e-11
15.0,-0.06587944790653207,-0.06587944800267209,9.614002649538378e-11
15.02,-0.06434935071551923,-0.0643493508079869,9.246767240789211e-11
15.040000000000001,-0.06242009268168808,-0.06242009277008302,8.839494414214499e-11
15.06,-0.06010683378972241,-0.06010683387324973,8.352731700744798e-11
