time,interval,light_mass,heavy_mass,light_amplitude,heavy_amplitude,log_C,effective_mass,light_spectral_fraction,heavy_spectral_fraction
31.25,0.5,0.1,1.0,1e-12,1.0,-30.27966665363201,0.3954304177973357,0.6210433067910436,0.3789566932089561
31.5,0.5,0.1,1.0,1e-12,1.0,-30.384092647942694,0.3527586230217793,0.6723821207598413,0.3276178792401572
31.75,0.5,0.1,1.0,1e-12,1.0,-30.477381862530677,0.3140557795643064,0.7199026723522358,0.2800973276477633
32.0,0.5,0.1,1.0,1e-12,1.0,-30.560471959453587,0.279622906956143,0.7629603946308774,0.23703960536912339
32.25,0.5,0.1,1.0,1e-12,1.0,-30.634409752312834,0.24951142935244502,0.8012266896782322,0.19877331032176976
32.5,0.5,0.1,1.0,1e-12,1.0,-30.700283412931658,0.22357345871420847,0.8346542572966331,0.16534574270336655
32.75,0.5,0.1,1.0,1e-12,1.0,-30.759165466989053,0.2015200373994281,0.8634186038122488,0.13658139618775197
33.0,0.5,0.1,1.0,1e-12,1.0,-30.812070142288764,0.1829767697538576,0.8878513278139707,0.11214867218603077
33.25,0.5,0.1,1.0,1e-12,1.0,-30.859925485688766,0.16753045400005373,0.9083771435909018,0.09162285640909736
33.5,0.5,0.1,1.0,1e-12,1.0,-30.903558527165693,0.15476418397609162,0.9254616464141283,0.0745383535858723
33.75,0.5,0.1,1.0,1e-12,1.0,-30.943690712688795,0.14428113061695508,0.939572397736425,0.060427602263575665
34.0,0.5,0.1,1.0,1e-12,1.0,-30.980940619153735,0.1357187257252883,0.951152856681709,0.048847143318290556
34.25,0.5,0.1,1.0,1e-12,1.0,-31.015831277997272,0.12875551613345737,0.9606070621843834,0.039392937815615627
34.5,0.5,0.1,1.0,1e-12,1.0,-31.04879998201638,0.12311289557832006,0.9682924361080842,0.03170756389191567
34.75,0.5,0.1,1.0,1e-12,1.0,-31.080209036064,0.11855356422265259,0.9745182039956664,0.025481796004332993
35.0,0.5,0.1,1.0,1e-12,1.0,-31.11035642980554,0.11487812070618646,0.9795473653324854,0.02045263466751544
35.25,0.5,0.1,1.0,1e-12,1.0,-31.13948581817533,0.11192077411523223,0.9836006598845608,0.016399340115444163
